1064k  110.178.52.91:8085
1063k  110.178.52.143:8084
1063k  110.178.52.143:8082
1061k  1.70.34.241:8085
1059k  110.178.52.91:8084
1058k  1.70.34.241:8082
1054k  110.178.52.91:8082
1051k  1.70.34.241:8083
1050k  1.70.32.50:8083
1049k  223.10.36.100:8083
1048k  1.70.32.50:8085
1041k  110.178.52.143:8085
1041k  110.178.52.111:8083
1041k  1.70.32.50:8084
1034k  110.178.52.111:8085
1031k  110.178.52.111:8084
1029k  1.70.34.241:8084
1028k  110.178.52.143:8083
1027k  223.10.36.100:8082
1026k  110.178.52.111:8082
