1116k  183.141.181.122:9999
1035k  125.113.77.54:8888
1031k  122.230.62.233:50060
1027k  122.230.62.233:49671
1021k  183.141.217.20:9999
1005k  122.230.62.233:3095
1004k  122.230.62.233:20000
997k  122.230.62.233:9183
961k  115.201.190.176:9999
926k  122.230.62.233:3097
922k  122.230.62.233:9162
911k  122.230.62.233:1951
861k  122.230.62.233:1452
797k  122.230.62.233:58888
730k  122.230.62.233:8848
681k  122.230.62.233:9999
640k  122.230.62.233:8889
611k  122.230.62.233:44305
411k  122.235.140.183:8888
403k  122.230.62.233:1720
296k  122.230.62.233:7443
282k  122.230.62.233:18083
258k  122.230.62.233:25005
224k  122.230.62.233:7000
213k  122.230.62.233:8888
151k  122.230.62.233:161
